"model","fixed_effect","sample_size","nsims","power"
"2",0.0125,40,1000,0.071
"2",0.025,40,1000,0.176
"2",0.03,40,1000,0.267
"2",0.04,40,1000,0.404
"2",0.05,40,1000,0.584
"2",0.0125,60,1000,0.083
"2",0.025,60,1000,0.255
"2",0.03,60,1000,0.368
"2",0.04,60,1000,0.574
"2",0.05,60,1000,0.744
"2",0.0125,68,1000,0.103
"2",0.025,68,1000,0.302
"2",0.03,68,1000,0.387
"2",0.04,68,1000,0.643
"2",0.05,68,1000,0.819
"2",0.0125,70,1000,0.109
"2",0.025,70,1000,0.292
"2",0.03,70,1000,0.429
"2",0.04,70,1000,0.628
"2",0.05,70,1000,0.828
"2",0.0125,80,1000,0.134
"2",0.025,80,1000,0.332
"2",0.03,80,1000,0.43
"2",0.04,80,1000,0.713
"2",0.05,80,1000,0.869
"2",0.0125,100,1000,0.124
"2",0.025,100,1000,0.392
"2",0.03,100,1000,0.539
"2",0.04,100,1000,0.754
"2",0.05,100,1000,0.937
