filename,Frame agreement,Comparable trials,Shift agreement,Frame agreement Within Range,Comparable trials Within Range,Shift agreement Within Range
CAT_201_session2,92.75,83.33,90.52,96.47,62.5,91.74
CAT_268_session1,93.65,82.61,92.93,93.67,91.3,95.0
CAT_263_session1,93.58,80.0,92.31,98.85,90.0,100.0
CAT_300_session1,93.17,54.55,80.6,92.23,63.64,82.93
CAT_285_session2,88.98,63.64,81.82,90.81,77.27,90.0
CAT_236_session1,97.13,85.0,89.53,96.61,80.0,94.25
CAT_222_session2,95.79,62.5,92.73,95.33,70.83,94.07
CAT_203_session1,89.0,71.43,85.87,94.16,85.71,90.79
CAT_255_session2,94.78,55.0,93.42,97.76,60.0,98.08
CAT_246_session1,83.32,63.16,80.85,88.86,84.21,89.02
CAT_306_session1,77.13,57.89,75.34,89.49,57.89,80.85
CAT_282_session2,97.14,75.0,93.24,96.82,75.0,96.08
CAT_231_session1,94.24,95.45,93.14,99.24,100.0,95.56
CAT_253_session2,92.07,95.83,81.28,95.75,79.17,87.83
CAT_252_session2,96.62,95.65,85.08,96.75,86.96,81.32
CAT_206_session2,85.08,26.32,50.0,83.7,52.63,60.32
CAT_244_session2,82.43,60.87,76.72,83.06,52.17,80.0
CAT_201_session1,98.03,79.17,96.39,98.65,83.33,98.47
CAT_248_session1,93.22,46.15,75.0,93.74,61.54,89.29
CAT_336_session1,92.08,80.95,85.81,95.27,76.19,96.91
CAT_317_session2,93.52,79.17,86.49,96.72,79.17,85.9
CAT_277_session1,90.14,70.0,92.38,95.19,85.0,89.04
CAT_303_session1,93.16,54.17,87.7,93.1,66.67,94.62
CAT_299_session1,97.17,83.33,91.49,97.47,94.44,94.2
CAT_235_session1,91.53,69.57,83.02,95.44,91.3,92.5
CAT_261_session1,94.98,66.67,87.64,95.95,75.0,97.48
CAT_209_session2,94.13,62.5,92.44,93.13,70.83,96.74
CAT_334_session2,88.75,63.64,62.5,91.35,72.73,72.22
CAT_254_session1,96.8,70.83,89.09,97.53,83.33,93.08
CAT_223_session1,90.87,60.87,84.06,94.58,73.91,90.38
CAT_343_session2,98.23,69.57,94.48,98.29,86.96,96.19
CAT_283_session1,86.51,54.55,69.84,87.46,68.18,71.79
CAT_306_session2,94.06,72.22,89.52,95.3,83.33,93.75
CAT_307_session2,96.75,58.33,88.24,97.08,83.33,94.74
CAT_252_session1,80.48,37.5,51.72,86.99,54.17,64.71
CAT_239_session1,91.61,50.0,86.25,92.59,43.75,91.43
CAT_270_session1,86.64,66.67,80.6,83.97,66.67,81.4
CAT_271_session1,93.31,47.62,92.91,95.13,76.19,94.78
CAT_265_session2,85.11,50.0,84.31,90.77,54.17,86.49
CAT_324_session2,96.16,56.52,91.3,96.09,82.61,89.8
CAT_213_session2,93.77,100.0,88.98,97.85,90.48,98.0
